0,3.35,6.52,39.80,0.72
1,3.91,4.34,91.48,0.18
2,2.94,4.50,34.26,0.24
3,3.19,7.87,68.42,0.11
4,2.06,5.09,59.95,0.63
0,3.86,6.56,44.27,0.72
1,4.77,4.23,87.24,0.27
2,3.43,4.43,29.58,0.25
3,3.30,8.03,66.40,0.06
4,2.17,5.09,64.36,0.73
0,4.17,6.54,47.96,0.64
1,5.00,4.36,83.72,0.22
2,2.91,4.46,33.47,0.34
3,3.24,7.90,66.06,0.04
4,2.14,5.10,62.08,0.70
0,3.47,6.58,43.74,0.67
1,5.00,4.31,80.32,0.26
2,2.19,4.51,30.94,0.27
3,2.68,7.71,67.77,0.00
4,2.61,4.96,62.76,0.69
0,3.27,6.53,45.96,0.77
1,4.18,4.23,78.76,0.19
2,1.73,4.37,26.88,0.24
3,3.47,7.69,70.37,0.00
4,3.10,4.92,60.15,0.68
0,2.73,6.62,45.11,0.74
1,3.87,4.40,75.44,0.28
2,1.51,4.43,25.40,0.31
3,3.97,7.70,72.57,0.00
4,3.33,4.97,56.45,0.58
0,3.69,6.76,46.53,0.65
1,2.89,4.52,76.16,0.19
2,1.00,4.31,30.18,0.32
3,4.71,7.52,77.30,0.00
4,3.16,4.94,60.66,0.56
0,3.88,6.63,44.31,0.67
1,1.93,4.41,78.67,0.24
2,1.85,4.47,32.12,0.27
3,4.23,7.72,74.38,0.05
4,2.41,5.13,61.73,0.50
0,3.02,6.45,45.55,0.73
1,2.72,4.34,74.91,0.20
2,1.85,4.46,30.40,0.22
3,5.00,7.57,72.19,0.04
4,3.17,5.27,58.83,0.54
0,2.41,6.45,40.86,0.72
1,2.63,4.45,75.87,0.25
2,1.64,4.65,34.56,0.17
3,4.11,7.48,73.53,0.00
4,3.01,5.39,60.61,0.51
0,1.53,6.45,38.76,0.68
1,2.12,4.38,75.12,0.25
2,1.00,4.52,35.15,0.14
3,4.69,7.63,72.63,0.00
4,3.49,5.23,56.42,0.52
0,1.93,6.35,40.32,0.60
1,1.64,4.53,74.62,0.27
2,1.00,4.38,37.71,0.20
3,3.99,7.49,75.24,0.01
4,3.34,5.17,57.16,0.57
0,1.79,6.18,41.63,0.64
1,1.47,4.64,69.86,0.24
2,1.88,4.58,36.09,0.21
3,4.76,7.55,75.67,0.00
4,4.17,5.26,55.25,0.62
0,1.02,6.36,40.15,0.68
1,2.08,4.57,72.88,0.27
2,2.46,4.47,39.48,0.25
3,3.91,7.39,71.34,0.00
4,4.57,5.15,50.84,0.52
0,1.04,6.41,40.51,0.72
1,1.36,4.56,71.59,0.26
2,1.84,4.64,41.58,0.26
3,3.10,7.42,70.92,0.00
4,5.00,5.17,54.60,0.43
0,1.00,6.26,39.38,0.75
1,1.17,4.72,67.83,0.16
2,2.54,4.49,43.93,0.21
3,2.91,7.38,66.26,0.00
4,5.00,5.20,54.72,0.47
0,1.38,6.14,35.00,0.81
1,1.74,4.70,68.59,0.07
2,2.18,4.34,46.30,0.27
3,3.15,7.47,61.37,0.08
4,4.28,5.15,54.94,0.50
0,2.35,6.10,39.03,0.84
1,2.07,4.70,65.49,0.13
2,1.30,4.31,43.59,0.34
3,2.79,7.46,57.39,0.12
4,3.45,5.05,52.75,0.46
0,1.39,6.15,41.08,0.85
1,2.97,4.70,66.27,0.22
2,1.00,4.14,46.82,0.40
3,3.45,7.53,59.04,0.14
4,3.12,5.14,52.62,0.50
0,1.00,6.25,37.39,0.78
1,3.54,4.57,70.08,0.27
2,1.00,4.04,49.57,0.31
3,4.35,7.36,59.08,0.07
4,2.69,4.99,54.66,0.45
0,1.00,6.27,39.07,0.76
1,2.93,4.76,67.94,0.33
2,1.00,3.87,46.23,0.30
3,3.37,7.55,63.87,0.15
4,1.75,5.13,55.38,0.54
0,1.89,6.11,38.68,0.69
1,3.67,4.61,71.48,0.41
2,1.71,3.75,42.61,0.25
3,2.83,7.47,66.77,0.22
4,2.13,4.98,51.68,0.57
0,1.15,6.12,42.08,0.63
1,3.52,4.50,74.43,0.43
2,2.23,3.62,42.13,0.26
3,3.20,7.60,71.49,0.26
4,2.60,4.92,49.94,0.56
0,2.13,5.95,46.14,0.69
1,2.82,4.34,75.60,0.38
2,2.69,3.52,42.15,0.21
3,2.83,7.64,66.77,0.27
4,2.98,5.08,49.94,0.52
0,3.09,6.10,42.36,0.61
1,3.38,4.40,73.00,0.32
2,1.89,3.62,44.70,0.29
3,2.71,7.77,70.21,0.26
4,2.38,5.06,54.56,0.53
0,2.42,6.29,41.44,0.64
1,2.50,4.40,73.96,0.23
2,2.50,3.73,43.65,0.21
3,1.89,7.67,70.45,0.35
4,1.84,4.98,58.57,0.61
0,1.68,6.23,38.75,0.67
1,3.28,4.43,78.35,0.23
2,2.07,3.74,39.27,0.30
3,2.11,7.56,67.47,0.43
4,2.66,4.87,57.93,0.64
0,1.29,6.17,37.27,0.61
