0,1.85,8.02,92.88,0.31
1,3.25,7.49,39.94,0.14
2,3.62,7.59,59.83,0.71
3,2.53,4.83,60.53,0.64
4,3.12,5.38,90.37,0.34
0,1.26,7.91,90.48,0.21
1,3.40,7.62,37.27,0.23
2,2.75,7.54,61.50,0.62
3,3.21,5.01,64.63,0.57
4,2.73,5.53,93.49,0.25
0,1.16,8.09,91.00,0.20
1,2.74,7.69,39.34,0.33
2,1.84,7.56,66.43,0.64
3,2.44,4.95,63.17,0.57
4,2.83,5.39,91.60,0.26
0,1.29,7.92,90.72,0.14
1,3.32,7.64,38.52,0.36
2,1.96,7.41,70.32,0.65
3,3.16,5.02,64.28,0.57
4,2.38,5.35,96.55,0.23
0,1.06,7.81,90.95,0.10
1,3.40,7.83,34.45,0.44
2,1.09,7.50,73.19,0.65
3,2.60,4.86,65.50,0.60
4,1.68,5.30,96.22,0.17
0,1.98,7.86,86.86,0.02
1,3.83,7.77,33.55,0.41
2,1.46,7.65,71.14,0.58
3,2.76,4.80,69.59,0.56
4,1.99,5.12,93.19,0.08
0,2.05,8.04,85.71,0.09
1,3.54,7.73,36.78,0.38
2,2.26,7.62,72.04,0.64
3,2.56,4.67,69.92,0.58
4,2.50,4.97,88.29,0.15
0,2.82,8.08,87.50,0.14
1,3.34,7.63,36.70,0.40
2,2.35,7.47,70.24,0.70
3,3.05,4.54,74.21,0.56
4,3.28,4.85,85.21,0.16
0,2.17,8.15,90.82,0.17
1,3.62,7.79,39.79,0.32
2,2.94,7.39,70.45,0.65
3,2.68,4.69,73.80,0.65
4,2.58,4.84,85.85,0.25
0,2.14,8.06,95.35,0.17
1,2.63,7.64,35.90,0.33
2,2.21,7.23,67.23,0.68
3,1.80,4.60,77.08,0.73
4,1.72,4.80,83.22,0.28
0,1.28,7.96,94.92,0.26
1,2.37,7.53,36.86,0.29
2,1.59,7.14,68.24,0.68
3,2.32,4.73,81.38,0.75
4,1.06,4.76,85.20,0.33
0,1.00,8.01,99.40,0.24
1,2.30,7.34,37.47,0.31
2,1.60,7.31,72.66,0.76
3,3.28,4.89,85.90,0.79
4,1.94,4.61,87.65,0.38
0,1.00,7.96,101.75,0.32
1,1.72,7.19,32.69,0.23
2,1.17,7.34,74.40,0.67
3,3.61,4.87,90.09,0.80
4,1.86,4.67,86.96,0.36
0,1.32,8.10,102.92,0.33
1,1.56,7.08,37.15,0.21
2,2.11,7.29,78.51,0.62
3,3.94,5.01,92.89,0.88
4,1.91,4.68,86.92,0.27
0,1.31,8.08,98.80,0.28
